StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22,Assignment23,Assignment24,Assignment25,Assignment26,Assignment27,Assignment28,Assignment29,Assignment30,Assignment31,Assignment32,Assignment33,Assignment34,Assignment35,Assignment36,Assignment37,Assignment38
s238711,Simon Pedersen,0
s194015,Alexander Dahl,12
s202884,Camilla Dahl,0
s238474,Ava Petersen,-3
s202426,Olivia Hjorth,0
s196449,Noah Dahl,0
s234503,Isabel Krogh,2
s193060,Adam Knudsen,2
s197410,Hannah Bach,0
s226902,Louise Dahl,10
s215015,Emil Hermansen,4
s215795,Mikkel Thomsen,-3
s203217,Mason Espersen,0
s191488,Benjamin Møller,12
s218728,Daniel Hermansen,12
s227915,Emil Nielsen,7
s192959,Victor Petersen,2
s191277,Clara Thomsen,2
s194532,Liam Thomsen,2
s215241,Sophie Eriksen,-3
s192541,Louise Andersen,-3
s225951,Emil Kristensen,2
s221998,Noah Pedersen,2
s192463,Sebastian Sørensen,12
s196274,Sara Eriksen,4
s219188,Sophia Petersen,4
s229114,Olivia Jensen,4
s232745,Emily Olsen,10
s221368,Lily Petersen,4
s217972,William Kristensen,10
s209777,Mason Gregersen,7
s209938,Sara Mortensen,-3
s226846,Ella Iversen,10
s194998,Lucas Thomsen,0
s232028,William Lauridsen,2
s238958,Jacob Pedersen,4
s215728,Sophie Madsen,7
s237659,Jacob Hjorth,12
s223493,Lily Hansen,7
s192505,Simon Nielsen,2
s232073,Magnus Thomsen,4
s224631,Naja Bertelsen,0
s195403,Mason Kjeldsen,7
s205447,Louise Eriksen,0
s213211,Alma Larsen,10
s199570,Mathias Jensen,-3
s197633,Mathias Nielsen,2
s238597,Maria Christensen,4
s212883,Victor Madsen,0
s232195,Camilla Kjeldsen,-3
s211754,Sophie Christiansen,2
s211781,Sebastian Bertelsen,12
s223339,Mia Schmidt,0
s236356,Hannah Lauridsen,4
s237073,Lea Jakobsen,10
s228373,Daniel Pedersen,-3
s214735,Isabella Gregersen,12
s229230,Elias Eriksen,2
s212977,Daniel Jakobsen,10
s201903,Frederik Madsen,7
s209842,Jacob Hermansen,0
s232589,Lucas Johansen,4
s228972,Isabel Schmidt,2
s192554,Sebastian Møller,4
s234605,Nikolaj Espersen,4
s191760,Oscar Kristensen,0
s238750,Noah Christiansen,2
s236899,Emil Mortensen,0
s223484,Emil Jakobsen,7
s217915,Oliver Rasmussen,2
s209015,Louise Lauridsen,-3
s208963,Oscar Dahl,-3
s234886,Lily Kristensen,2
s238530,Louise Petersen,10
s207308,Benjamin Espersen,4
s205281,Anna Olsen,10
s213452,Mikkel Krogh,-3
s206719,Oscar Friis,10
s219403,Viktoria Christensen,7
s204900,Jacob Olsen,10
s229255,Anna Andersen,12
s232582,Maria Krogh,4
s202825,Sophia Madsen,-3
s213028,Lily Holm,0
s208516,Lea Bertelsen,0
s224295,Frederik Jensen,2
s237281,Maria Madsen,2
s226304,Isabella Eriksen,12
s223977,Luna Madsen,10
s238448,Victor Møller,12
s216614,Daniel Bertelsen,7
s212070,Liam Bach,7
s229349,Naja Espersen,4
s227806,Ava Møller,0
s239736,Victor Nielsen,4
s194063,Mathias Johansen,4
s221784,Clara Møller,-3
s238606,Tobias Hjorth,4
s194167,Isabella Petersen,2
s209967,Frederik Schmidt,10
s222583,Ava Carstensen,10
s229189,Ava Bach,4
s222540,Alma Nielsen,12
s218413,Alma Petersen,2
s191288,Noah Petersen,4
s229803,Tobias Jakobsen,10
s231084,Camilla Christiansen,10
s215593,Frederik Møller,4
s239673,Naja Nielsen,2
s214982,Louise Schmidt,0
s211331,Ida Friis,7
s236963,Alma Andersen,2
s216361,Adam Jørgensen,2
s199522,Elias Laursen,7
s234187,Ida Christensen,7
s238041,Olivia Olsen,4
s222295,Jacob Iversen,4
s235481,Mia Carstensen,7
s234674,Adam Friis,-3
s198610,Louise Johansen,0
s206664,Adam Laursen,10
s229447,Sara Thomsen,7
s215843,William Iversen,0
